"Theta [deg]","dB(GainTotal) [] - Freq='0.1375GHz' Phi='0deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='5deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='10deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='15deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='20deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='25deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='30deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='35deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='40deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='45deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='50deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='55deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='60deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='65deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='70deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='75deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='80deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='85deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='90deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='95deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='100deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='105deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='110deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='115deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='120deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='125deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='130deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='135deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='140deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='145deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='150deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='155deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='160deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='165deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='170deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='175deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='180deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='185deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='190deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='195deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='200deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='205deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='210deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='215deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='220deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='225deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='230deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='235deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='240deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='245deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='250deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='255deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='260deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='265deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='270deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='275deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='280deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='285deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='290deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='295deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='300deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='305deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='310deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='315deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='320deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='325deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='330deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='335deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='340deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='345deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='350deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='355deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='360deg'"
-180,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.0644157260813,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.0644157260813,-4.06441572608131,-4.0644157260813,-4.0644157260813,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.0644157260813,-4.0644157260813,-4.06441572608132,-4.06441572608132,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.0644157260813,-4.06441572608131,-4.06441572608131,-4.06441572608132,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608132,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.0644157260813,-4.0644157260813,-4.06441572608131,-4.06441572608132,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.0644157260813,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.06441572608131,-4.0644157260813,-4.06441572608131
-179,-4.34660419500526,-4.34631504088018,-4.34267297476667,-4.33583381822226,-4.32605171515351,-4.31366942797028,-4.2991054952452,-4.2828389380718,-4.26539229056761,-4.24731375201797,-4.22915922036844,-4.21147488195352,-4.19478091686286,-4.17955675018284,-4.16622815170126,-4.1551563723053,-4.14662941189568,-4.14085544474134,-4.13795838380884,-4.13797554295011,-4.14085735021462,-4.14646907107627,-4.15459451055008,-4.16494167143339,-4.177150345944,-4.19080160424251,-4.20542911127136,-4.22053215029042,-4.23559015705951,-4.25007847541323,-4.26348493903222,-4.27532677511681,-4.2851672260628,-4.29263120965963,-4.29741930131405,-4.29931933546937,-4.29821499495271,-4.29409088667205,-4.28703378214613,-4.27722991644102,-4.26495846823103,-4.25058156343743,-4.23453133301412,-4.21729469443873,-4.19939660601901,-4.18138256111452,-4.16380105135666,-4.14718664538504,-4.13204421741573,-4.118834733894,-4.10796288101308,-4.09976670259944,-4.09450932473689,-4.09237277473391,-4.09345385842872,-4.09776203935928,-4.10521926185519,-4.11566167198616,-4.12884320892167,-4.14444105750964,-4.16206296358824,-4.18125640992436,-4.2015196269158,-4.22231436418789,-4.24308027536501,-4.2632506703792,-4.28226927350969,-4.29960750106135,-4.31478165421813,-4.32736932682189,-4.33702427178381,-4.34348896835239,-4.34660419500526
-178,-5.14832470971999,-5.14293883530546,-5.12351752691545,-5.09087145659994,-5.0463055135335,-4.99154084178951,-4.92861691342426,-4.85978409230084,-4.78739663057419,-4.71381412036978,-4.6413167640512,-4.57203708445865,-4.50790835462491,-4.45062833455424,-4.40163590380911,-4.36209777934128,-4.33290255281029,-4.31465961025316,-4.30770097701026,-4.31208466991678,-4.32759868326114,-4.35376526163907,-4.38984561796652,-4.43484574343579,-4.48752443066043,-4.54640508143217,-4.60979326363496,-4.67580225485895,-4.74238886706634,-4.80740156523875,-4.86864214746288,-4.92394095566076,-4.97124374012412,-5.00870606415298,-5.03478884957595,-5.04834683220262,-5.04870087619283,-5.03568572711312,-5.00966699821318,-4.97152469585989,-4.92260472229003,-4.86464367154054,-4.79967505810544,-4.7299264068424,-4.65771633480775,-4.58535919558307,-4.51508257050608,-4.44896043594018,-4.38886264613611,-4.33641969779512,-4.29300066042581,-4.25970161644585,-4.23734184247249,-4.2264651490316,-4.22734416683125,-4.23998584082614,-4.26413691748515,-4.29928876144113,-4.34468140835199,-4.39930735242403,-4.46191617775285,-4.53102175616852,-4.60491430836158,-4.68168008120806,-4.75923161254207,-4.83535138001281,-4.90775089739652,-4.97414590238069,-5.03234615617118,-5.08035571479241,-5.11647673614747,-5.13940756749896,-5.14832470971999
-177,-6.45610426179733,-6.4396191853612,-6.38800954828316,-6.30393291547461,-6.19161016463326,-6.05640243813744,-5.90433095729501,-5.74162061854566,-5.57432370735858,-5.40804917972469,-5.24779680655995,-5.0978791891831,-4.96190811272499,-4.84282206146422,-4.74293569111532,-4.66399712622089,-4.60724366233294,-4.57345018168197,-4.56296723522892,-4.57574745367492,-4.61135996429784,-4.66899305908688,-4.74744571852249,-4.84510896939159,-4.95993866866334,-5.08942238715148,-5.23054483349664,-5.37975886354145,-5.53297253998886,-5.68556656379229,-5.83245972830125,-5.96824112526908,-6.08738427247892,-6.18454777162289,-6.25494865374906,-6.29477069681536,-6.30154762545979,-6.27445019412175,-6.21441512390747,-6.12408378202518,-6.0075604395066,-5.8700386072035,-5.71736574910049,-5.55561662810248,-5.39072828737121,-5.22822500926584,-5.07303872247463,-4.92941443784968,-4.80088233816602,-4.69027644724507,-4.59978185735179,-4.53099612872555,-4.48499426820739,-4.46238992739674,-4.46338790620719,-4.4878247494852,-4.53519534812043,-4.60466420669467,-4.69506063084884,-4.80485774128742,-4.93213617952811,-5.07453490113605,-5.22919383249529,-5.39269661970612,-5.56102625101039,-5.72955158294712,-5.89306759117738,-6.04591432131573,-6.1821958938637,-6.29610826611851,-6.382361351121,-6.43665058597912,-6.45610426179733
-176,-8.13761345983011,-8.10362027728518,-7.9996879652356,-7.83305341284377,-7.61488406964706,-7.35851751718862,-7.07775150694971,-6.78554726443454,-6.49326290895753,-6.21035049344916,-5.94437231958054,-5.70119323896635,-5.48524211268877,-5.2997766796811,-5.14711819797195,-5.02884292246891,-4.94592899010117,-4.89886271096235,-4.88771012467074,-4.9121596059605,-4.97154021992318,-5.06481892231708,-5.19057784068701,-5.34697096078977,-5.53165783432341,-5.74171083001819,-5.97349266584495,-6.22250361310073,-6.4832045284116,-6.7488348609256,-7.01126581376517,-7.26095743586472,-7.48711812241454,-7.67817896135323,-7.82266580307707,-7.91045202926041,-7.93420824066005,-7.89069608349236,-7.78149677605324,-7.61290390640265,-7.39500180907695,-7.14023207015085,-6.86186659534788,-6.57272944778734,-6.28433363564928,-6.00643547136337,-5.74691566323874,-5.51187155016368,-5.30582083627022,-5.13194691053829,-4.99234368735691,-4.88823819603024,-4.82018173523586,-4.78820716904843,-4.79195293010828,-4.83075508049477,-4.90370835578106,-5.00969603195587,-5.14738699194763,-5.31519672153887,-5.51120740305448,-5.73304131397056,-5.97768232013932,-6.24124395102451,-6.51869170942142,-6.80354491329707,-7.08761221012345,-7.36085460042967,-7.6115115022598,-7.82664485559564,-7.99321280208183,-8.09963967773128,-8.13761345983011
-175,-9.66621818736592,-9.61732064441499,-9.46040368494284,-9.20929100760833,-8.88495619518535,-8.51110061925709,-8.11045667124606,-7.70260170881145,-7.30318543994808,-6.92407680311922,-6.57394206477784,-6.2589289699988,-5.98329165506513,-5.74989584019908,-5.5605979216709,-5.41651369557897,-5.31819835378482,-5.26575859577985,-5.25891480801827,-5.29702801544515,-5.37910307228371,-5.50377619393044,-5.66929123270423,-5.87346494812396,-6.11363690682857,-6.38659466931622,-6.68845989314636,-7.01451675365674,-7.35896271848659,-7.71456759201641,-8.07224781824753,-8.42061097431931,-8.74561136103128,-9.0305776263954,-9.25697932540753,-9.40627120316995,-9.46283383626064,-9.41739190068462,-9.26966936650203,-9.02903495006553,-8.71275667521784,-8.34265303952041,-7.94150680861823,-7.53031710564187,-7.12676871993556,-6.74474843326633,-6.39452891277194,-6.08327258148804,-5.81562538666641,-5.59427997819287,-5.42046035576181,-5.29431875856231,-5.21525218895067,-5.18215070496054,-5.19358902687179,-5.24797055579604,-5.34363006798159,-5.47889841883877,-5.65212924103148,-5.86168333552037,-6.10586090162942,-6.3827651325531,-6.69007407112853,-7.02469326297492,-7.38226384191694,-7.75651656423457,-8.13850408645969,-8.51582820728108,-8.87211873704525,-9.18719670399013,-9.43846306430378,-9.60387710440766,-9.66621818736592
-174,-10.0647929560035,-10.0268855345271,-9.88165645920475,-9.64069848472869,-9.3232953498097,-8.95223766279641,-8.55010736417684,-8.13692290482186,-7.72915903830028,-7.33971082667314,-6.97833472567367,-6.6522410558255,-6.36666401621525,-6.12533755042728,-5.93085872544996,-5.78494318410614,-5.68858573816927,-5.64214255961474,-5.64535349507803,-5.69732448241922,-5.79649043589072,-5.94057780368063,-6.12658318890401,-6.35078015761987,-6.60876078020624,-6.89551131269166,-7.20551197028534,-7.53283812370227,-7.87122462025545,-8.21403930050748,-8.55410409157821,-8.88331651546685,-9.19208044850912,-9.46867086984115,-9.6988335563271,-9.86610489460976,-9.95338089064951,-9.94594097564782,-9.83533750830744,-9.62266257257572,-9.31953085123978,-8.94614956739903,-8.52739494310679,-8.08861730189401,-7.65251990737735,-7.23754043307943,-6.8574724369733,-6.52183340105592,-6.23655679900393,-6.00474614843975,-5.82736472942048,-5.70381769331796,-5.63242370453494,-5.61078828884613,-5.63609404542696,-5.70532173207147,-5.81541461766103,-5.96339709554402,-6.14645609185533,-6.3619881604925,-6.60760478161077,-6.88107380548068,-7.18015975802182,-7.50231613390916,-7.84418646843974,-8.20089557134118,-8.56516591430362,-8.92638659088257,-9.26990088152383,-9.57694611288449,-9.82578778276286,-9.99444426316759,-10.0647929560035
-173,-9.18719757180705,-9.17820425028617,-9.10530727477296,-8.97120801236916,-8.78250457647411,-8.54862992899266,-8.28073286597833,-7.99070388670693,-7.69040501001837,-7.39109283621152,-7.10301489161594,-6.83516639230325,-6.59519060633001,-6.38939011317213,-6.22280049783007,-6.09927292882361,-6.02152085277963,-5.99110544997222,-6.00835826545067,-6.07226153215748,-6.18032338632696,-6.32849538244959,-6.51118394011975,-6.72140557223386,-6.9511254879083,-7.19179520561442,-7.43506190371845,-7.67356132604698,-7.90164123879925,-8.1158217458182,-8.31481238507774,-8.49898524813763,-8.66932837764361,-8.82603522510036,-8.96699635047245,-9.08655170314011,-9.1749484918015,-9.21899382759958,-9.20425374624043,-9.11864779280309,-8.95645290389319,-8.72108001992174,-8.42526221739457,-8.08857162981647,-7.73351122879847,-7.38179679995493,-7.05184354675604,-6.75763069101204,-6.50860488137772,-6.31017010911527,-6.16441303975649,-6.07085662417515,-6.0271440335663,-6.02961770300121,-6.07378824991729,-6.15470192807337,-6.26722455588865,-6.40626854460335,-6.56699445972445,-6.74501158805,-6.93657678754335,-7.13875023650372,-7.34942716630356,-7.56715205860111,-7.7906564790265,-8.01814304735341,-8.2464412889405,-8.47025044296345,-8.68172866531481,-8.87066486146028,-9.02535983547561,-9.13414241628578,-9.18719757180705
-172,-7.98811417453046,-7.99905680071379,-7.9861140337294,-7.94847633265209,-7.88563900294787,-7.79736427616604,-7.68407672679265,-7.5474920304518,-7.39114941595478,-7.22057362484933,-7.04298471672553,-6.86667823485144,-6.70029906946882,-6.55220005137758,-6.4299660585173,-6.3400770095176,-6.28762960439838,-6.27604433117169,-6.3067289009397,-6.37872454009451,-6.4884095115961,-6.62936837463501,-6.79255342261722,-6.96685786339713,-7.14016918340013,-7.30085569331299,-7.43946686252545,-7.55026201528449,-7.63212944709896,-7.68859403544909,-7.72689332463616,-7.75637807706857,-7.78662098851218,-7.82557251229869,-7.87797320621669,-7.94413023030579,-8.0191595222503,-8.09288872962931,-8.15074273290346,-8.17594004089088,-8.15300666386981,-8.07189675755397,-7.93126374879256,-7.73938982344192,-7.51230857276511,-7.27006433313402,-7.03273370286592,-6.81745826435631,-6.63689569430785,-6.49886340470147,-6.40673007584631,-6.36016477428294,-6.35599077678465,-6.38900757120624,-6.45271577644364,-6.53992059268542,-6.64322169182674,-6.75543146131097,-6.86998891647163,-6.98142679241032,-7.08588300744115,-7.18153929348285,-7.26878236312584,-7.34989625237804,-7.42823819972529,-7.50706349059777,-7.58833187876537,-7.67186394785579,-7.75511114642343,-7.83360493130147,-7.9019221719541,-7.95481779842714,-7.98811417453046
-171,-7.10776599376282,-7.1277049347812,-7.14698080269075,-7.16502774046795,-7.17964751965831,-7.18681590637123,-7.18132423272596,-7.15807911909827,-7.11362026241311,-7.04732180946342,-6.96188564356714,-6.86305485344921,-6.7587843524263,-6.65822511716548,-6.57078345627153,-6.50532838234801,-6.46948163153849,-6.46889887665956,-6.50651290482712,-6.58180248460158,-6.69023309946483,-6.823074044786,-6.96782267835343,-7.10943000830705,-7.23236638970598,-7.32326334253939,-7.37350761975229,-7.38098148903042,-7.35035742984438,-7.29191206023123,-7.21936988805932,-7.14748582448605,-7.08990132386123,-7.05749080601157,-7.057175264246,-7.09109578204191,-7.15608333577642,-7.24348568245032,-7.33957841632262,-7.4269253587418,-7.48700871364057,-7.50402476308564,-7.46894162287056,-7.3822400475493,-7.25397747535952,-7.10107745929562,-6.94312164818313,-6.79834145768073,-6.68090540224476,-6.59971712279402,-6.5583884328099,-6.55592043926915,-6.58771936781598,-6.64670549648942,-6.72436406922786,-6.81164142654325,-6.8996465944189,-6.98020119383675,-7.04636148566328,-7.09304266891056,-7.11774812038005,-7.12118356690563,-7.10737721314057,-7.0830039742309,-7.05593753054769,-7.03343227289102,-7.02052793534792,-7.01918475553358,-7.02838024372813,-7.04506425301191,-7.06557847170286,-7.08698205125966,-7.10776599376282
-170,-6.70766745112973,-6.73171384417484,-6.76642468204246,-6.81255789428655,-6.86792782142633,-6.92690109067099,-6.98105131315737,-7.02084733234098,-7.03789938160743,-7.02704805087661,-6.98761895987626,-6.9235376063179,-6.84250140574587,-6.7547044286179,-6.67154792432709,-6.60449227773876,-6.56397610655046,-6.55828457588695,-6.59235217198703,-6.66662457234899,-6.77621019622634,-6.91061712539382,-7.054396294484,-7.18894595850757,-7.29547495277932,-7.35863532246936,-7.36981265876199,-7.32892729080041,-7.24413130619893,-7.12970713270525,-7.00312127675116,-6.88218427353111,-6.78282377020337,-6.71752866192861,-6.69430425791482,-6.71596852745813,-6.77970702325713,-6.8769238345445,-6.99357106045006,-7.11129550633182,-7.20979805414117,-7.27052902118123,-7.28108643878125,-7.23876620809582,-7.15151310901321,-7.03562300355032,-6.91125221709127,-6.79769044942434,-6.70992826238522,-6.65701335029848,-6.64191238456561,-6.66233927642887,-6.71207814661454,-6.78246560102596,-6.86378225163439,-6.94635282010769,-7.02124448583825,-7.08062801885428,-7.11806213545997,-7.12901958435996,-7.11176319093499,-7.06826298244182,-7.00452048831622,-6.92976435823701,-6.85452512655941,-6.78821398847099,-6.73709579443985,-6.70335570785564,-6.68550841951705,-6.67991791532179,-6.68281534978527,-6.69201827722011,-6.70766745112973
-169,-6.74314945158826,-6.77254582941496,-6.81683837689572,-6.87816439411247,-6.9543972267397,-7.03833813646339,-7.11849358835004,-7.18134656693017,-7.2145432159754,-7.20998484189023,-7.16575329824107,-7.08631958041163,-6.98132139329261,-6.8637265159401,-6.74808794369196,-6.64910489574128,-6.5803222208461,-6.55275862688644,-6.57343825185901,-6.64399819552087,-6.75965588030261,-6.90886668997299,-7.07401953299692,-7.23345947719049,-7.36486597000429,-7.44947775443761,-7.47603087877841,-7.44305598590104,-7.35874743079367,-7.23869455220261,-7.10255864039038,-6.97079549201667,-6.86200585904546,-6.79098799003706,-6.76734866064393,-6.79454463600404,-6.86931892934793,-6.98158943236148,-7.11495841631607,-7.24816092788782,-7.35786066141388,-7.42295293406857,-7.42968384232075,-7.37575269836998,-7.27125099434056,-7.13565699604959,-6.99228213633738,-6.86266114518384,-6.76273160890764,-6.7012808175045,-6.68019258019122,-6.69577310224493,-6.74056062962161,-6.80519486782145,-6.88001074145978,-6.95608030054417,-7.02557682088476,-7.0816227762091,-7.11809223541203,-7.12993370214121,-7.1142753566849,-7.07193377957904,-7.00837403688803,-6.93319249812815,-6.85794866623139,-6.79313610599424,-6.74554931154867,-6.7170591027102,-6.7051640786125,-6.70501128247312,-6.71205946781301,-6.72430570405709,-6.74314945158826
-168,-7.03408554772838,-7.07796004785955,-7.13720891305262,-7.2145608469603,-7.30714749888633,-7.40534562215993,-7.49380720178159,-7.55466369038079,-7.57210154130699,-7.53672964174999,-7.44801114588353,-7.31396705252493,-7.14883860476712,-6.97020683568024,-6.79667924914582,-6.64631292339566,-6.5353532131231,-6.47689426780853,-6.47939883163379,-6.54528606176593,-6.66989558721299,-6.84114142103344,-7.04016022543491,-7.2432149293483,-7.42493364451272,-7.56255323994792,-7.64026570456037,-7.65237269789037,-7.60417852387839,-7.51043932951412,-7.39214602994677,-7.27276723903088,-7.17475883146483,-7.11664921177531,-7.11073729854557,-7.16141408355999,-7.26418111126871,-7.40550608312677,-7.56374968766761,-7.71153250323393,-7.81993927697406,-7.86450600304071,-7.83172017673496,-7.72338951955155,-7.5563260286139,-7.3571367856013,-7.15470385323658,-6.97366231961044,-6.83072737221003,-6.73388710167542,-6.68353951507631,-6.67458598290467,-6.69876756421918,-6.74677213953557,-6.8097638945337,-6.88009269381743,-6.95115863300877,-7.01674734382083,-7.07046259236344,-7.10594137305183,-7.1181837688952,-7.10560124276423,-7.07165186728156,-7.02481244029169,-6.97645586090839,-6.93744523452929,-6.91497491783265,-6.91096625558676,-6.92252574164783,-6.94414032350871,-6.97068415816545,-7.00001912473226,-7.03408554772838
-167,-7.23278954879501,-7.30842148304845,-7.40015754626378,-7.50923501672569,-7.63060649704742,-7.75129723393631,-7.85161245554169,-7.90939614201883,-7.9061953151316,-7.83290010698773,-7.69229621004441,-7.49765014159655,-7.26879578316611,-7.02812835067899,-6.79792363991444,-6.59887771517053,-6.44906272834507,-6.3627288128728,-6.34890608244904,-6.41007716177907,-6.54124702312986,-6.72969339968727,-6.95563945074836,-7.19403646545817,-7.41752255422762,-7.60038499787307,-7.72296511623249,-7.77548313357068,-7.76006955869533,-7.69026812061823,-7.58826535337645,-7.48083716049003,-7.39500218828579,-7.35395619052141,-7.3735579683607,-7.45957059302035,-7.60589396466918,-7.79410222639007,-7.99476589138979,-8.17121703159879,-8.28622552875727,-8.31092786483627,-8.23330553011734,-8.06214047464482,-7.82391658483202,-7.55418543655024,-7.28784050581233,-7.0521656578103,-6.86393094253517,-6.72976166936674,-6.64835708676203,-6.61335177908332,-6.61603240035184,-6.6474363734913,-6.69955317577171,-6.76554206641671,-6.83916140702727,-6.91391118868611,-6.9825481106654,-7.03751591705224,-7.07243521130391,-7.08419672459596,-7.07463375536899,-7.05065932319367,-7.02245167355541,-7.0003960985319,-6.99218014447797,-7.00121815647306,-7.02678585998123,-7.06552484381681,-7.11364636477282,-7.16908410003054,-7.23278954879501
-166,-6.92912862818053,-7.04893143493441,-7.19026184953092,-7.35051278653933,-7.5215481760326,-7.68748502633957,-7.82562790840394,-7.91109192087725,-7.92372157803791,-7.85430717255961,-7.70709659142607,-7.49777396810227,-7.24884264210161,-6.98522984315345,-6.73153526416282,-6.51055218909275,-6.34207819558394,-6.24149802121147,-6.21823718235256,-6.27442403232924,-6.40405971262053,-6.59293607858347,-6.81952627748658,-7.05701903261174,-7.2765235727593,-7.45124349267689,-7.56106353202035,-7.59650922601842,-7.56078745670648,-7.46915107214071,-7.34597462644373,-7.22065038729435,-7.12319123514131,-7.07989018173215,-7.10922640259621,-7.21835253896995,-7.40060496226065,-7.63454189866277,-7.88523236315957,-8.10879972042737,-8.26089212628877,-8.30795190868935,-8.23729656802357,-8.06080945584218,-7.80996555034422,-7.5250833858447,-7.24432217398307,-6.9964356618641,-6.79821594264451,-6.65550725968155,-6.56611410535739,-6.52319252168025,-6.51817688729611,-6.54269863576633,-6.58929140597733,-6.65103997841479,-6.72072529937951,-6.79024841818811,-6.85093777290953,-6.89479056505414,-6.91613683896693,-6.91299949499764,-6.88759418296686,-6.84579317405794,-6.79580335324474,-6.74661527687218,-6.7067584610772,-6.68351899578209,-6.68238512127585,-6.70653126487716,-6.75661110299727,-6.83137902959353,-6.92912862818053
-165,-6.02715356760539,-6.18141491398147,-6.36628358006518,-6.57546025960499,-6.79908174335824,-7.02104848427962,-7.2192745257115,-7.36953335418468,-7.45143996823154,-7.45384822818119,-7.37727228642297,-7.23276357934672,-7.0387254223527,-6.81772626305905,-6.59420023334463,-6.39254486115982,-6.23492777048614,-6.1388097111934,-6.1146869374514,-6.16446695582715,-6.28064801379635,-6.44646463878415,-6.63730808824439,-6.82372263334035,-6.97593461269491,-7.06924296285129,-7.0889225122965,-7.03301390821104,-6.91204002607135,-6.74619102536513,-6.56162979625126,-6.3871924727897,-6.25148073306842,-6.17968209083895,-6.18991275755689,-6.28964277394529,-6.47304211152839,-6.71994557914706,-6.99706345814919,-7.26217862591075,-7.47178812686781,-7.59119452668107,-7.60378009653077,-7.51520690661649,-7.35034248625174,-7.14454735312006,-6.93347455892043,-6.74525470704315,-6.59688029787391,-6.4945082479883,-6.43624092869866,-6.41572394600609,-6.42520842885838,-6.45724202595596,-6.50476256166408,-6.56007208407595,-6.6138252652014,-6.65530634023568,-6.67444439141274,-6.66456141124315,-6.624011941677,-6.55562597614445,-6.4645994560681,-6.35657785216863,-6.2373066872985,-6.11386660047922,-5.99619969695692,-5.89723990748727,-5.83081793569681,-5.80811088993816,-5.83460160810846,-5.90938051528098,-6.02715356760539
-164,-4.84339978046719,-5.01122748548893,-5.21699629230915,-5.45280207971627,-5.70932757790548,-5.97283589647081,-6.2248662660482,-6.44512842439448,-6.61584258644413,-6.7251635089504,-6.7684300485735,-6.7476746886017,-6.6708191851761,-6.55150232319138,-6.40896075386831,-6.26650024321357,-6.14799327430502,-6.07345203528119,-6.05521608292787,-6.0955199771992,-6.185454012401,-6.30538112651256,-6.42733322868563,-6.51992007918205,-6.5553104138718,-6.51621032648446,-6.39982913899503,-6.21701769125653,-5.98764627649136,-5.73537899614313,-5.48446989388685,-5.25884001419272,-5.08173777126063,-4.97420510074863,-4.95200483532595,-5.02208149717455,-5.17995943156407,-5.40894916380908,-5.68147346368244,-5.9626499164698,-6.21610370876971,-6.41120932407418,-6.52976290770004,-6.5696752004622,-6.54430077876292,-6.47765238847329,-6.39712740165595,-6.32626987554757,-6.28001962736,-6.2636202915903,-6.2746732257271,-6.30671132285603,-6.35242409375257,-6.40513430059109,-6.45811350298116,-6.50264411954591,-6.52690471644649,-6.51773560389519,-6.4652883585083,-6.36756378755075,-6.23103952880669,-6.0665732564487,-5.88372589307515,-5.68773492575346,-5.48115829566096,-5.26880326542285,-5.06213675404365,-4.87959819834378,-4.74215154753477,-4.66669038036683,-4.66103661806738,-4.72298045716498,-4.84339978046719
